scenario,w,layer1,layer2,training_size,a_mse,v_mse,a_mse_first,v_mse_first
2,,,,60,0.228,0.4011,0.2119,0.002119
2,,,,60,0.2298,0.4012,0.2167,0.002167
2,,,,60,0.2285,0.3015,0.2653,0.002653
2,,,,300,0.1795,0.2095,0.3917,0.003917
2,,,,300,0.1772,0.3095,0.3777,0.003777
2,,,,300,0.3416,0.3014,0.1999,0.001999
2,,,,300,0.1873,0.2093,0.1172,0.001172
2,,,,300,0.1145,0.2216,0.2603,0.002603
2,,,,300,0.1453,0.3311,0.2057,0.002057
2,,,,300,0.1358,0.251,0.299,0.00299
2,,,,300,0.116,0.2518,0.2746,0.002746
2,,,,300,0.1233,0.2516,0.1596,0.001596
2,,,,300,0.1285,0.2218,0.2794,0.002794
2,,,,500,0.0752,0.2101,0.1934,0.001934
2,,,,500,0.1301,0.1105,0.1484,0.001484
2,,,,500,0.1276,0.1105,0.1379,0.001379
2,,,,500,0.091,0.1103,0.1466,0.001466
2,,,,500,0.0699,0.1171,0.1498,0.001498
2,,,,500,0.0713,0.1571,0.0998,0.000998
2,,,,500,0.0676,0.1072,0.1004,0.001004
2,,,,500,0.0731,0.1073,0.1116,0.001116
2,,,,500,0.0667,0.1073,0.1067,0.001067
2,,,,500,0.0824,0.1801,0.1074,0.001074
2,,,,1000,0.0872,0.1244,0.09673,0.0009673
2,,,,1000,0.0711,0.1115,0.08909,0.0008909
2,,,,2000,0.0711,0.1015,0.08509,0.0008509
2,,,,2000,0.0711,0.1015,0.08009,0.0008009
2,,,,2000,0.0711,0.1115,0.07009,0.0007009
2,,,,5000,0.0847,0.0917,0.06024,0.0006024
2,,,,5000,0.0878,0.0828,0.06358,0.0006358
2,,,,5000,0.0713,0.0814,0.06213,0.0006213
2,,,,5000,0.067,0.0901,0.0644,0.000644
2,,,,5000,0.0673,0.0801,0.0644,0.000644
2,,,,5000,0.0664,0.0701,0.0639,0.000639
2,,,,5000,0.0747,0.0701,0.0367,0.000367
2,,,,5000,0.0671,0.0801,0.0344,0.000344
2,,,,10000,0.0845,0.0402,0.0305,0.000305
2,,,,10000,0.0767,0.05013,0.0317,0.000317
2,,,,10000,0.0765,0.0602,0.0328,0.000328
2,,,,12000,0.0747,0.0601,0.0202,0.000202
2,,,,12000,0.0603,0.0501,0.0216,0.000216
3,,,,60,0.3165,0.7017,1.2606,0.012606
3,,,,60,0.3402,0.8025,1.0411,0.010411
3,,,,60,0.3787,0.602,0.6913,0.006913
3,,,,60,0.2864,0.4015,0.6418,0.006418
3,,,,60,0.1801,0.6003,0.5258,0.005258
3,,,,60,0.2598,0.5512,0.6147,0.006147
3,,,,60,0.2218,0.5208,0.5743,0.005743
3,,,,60,0.2253,0.5411,0.5096,0.005096
3,,,,60,0.2479,0.5705,0.9522,0.009522
3,,,,60,0.1048,0.5703,0.5274,0.005274
3,,,,60,0.1433,0.5705,0.755,0.00755
3,,,,60,0.2033,0.5108,0.8729,0.008729
3,,,,60,0.1303,0.5006,0.9524,0.009524
3,,,,60,0.1581,0.6004,0.7337,0.007337
3,,,,300,0.2246,0.3005,0.2389,0.002389
3,,,,300,0.2197,0.3206,0.1511,0.001511
3,,,,300,0.103,0.3302,0.413,0.00413
3,,,,300,0.1627,0.4305,0.351,0.00351
3,,,,300,0.1551,0.2405,0.2396,0.002396
3,,,,300,0.2561,0.3704,0.435,0.00435
3,,,,300,0.1633,0.4805,0.436,0.00436
3,,,,300,0.1453,0.5804,0.4347,0.004347
3,,,,500,0.1342,0.4203,0.3179,0.003179
3,,,,500,0.1436,0.1403,0.1253,0.001253
3,,,,500,0.144,0.1703,0.127,0.00127
3,,,,500,0.1653,0.2604,0.1313,0.001313
3,,,,1000,0.1435,0.1902,0.0918,0.000918
3,,,,2000,0.1014,0.1102,0.0725,0.000725
3,,,,2000,0.0959,0.1401,0.0768,0.000768
3,,,,2000,0.1012,0.1302,0.0604,0.000604
3,,,,5000,0.1124,0.1301,0.0899,0.000899
3,,,,5000,0.1106,0.1201,0.0689,0.000689
3,,,,5000,0.1037,0.1137,0.0606,0.000606
3,,,,5000,0.0982,0.1036,0.0691,0.000691
3,,,,10000,0.0841,0.1002,0.0495,0.000495
3,,,,10000,0.092,0.0802,0.0496,0.000496
3,,,,12000,0.0979,0.0701,0.0383,0.000383
3,,,,12000,0.0948,0.0802,0.0207,0.000207
3,,,,12000,0.0952,0.0902,0.0236,0.000236
