scenario,w,layer1,layer2,training_size,a_mse,v_mse,a_mse_first,v_mse_first,note
2,,,,500,0.0699,0.1171,0.1498,0.001498,
2,,,,500,0.0713,0.1571,0.0998,0.000998,
2,,,,500,0.0676,0.1072,0.1004,0.001004,
2,,,,500,0.0731,0.1073,0.1116,0.001116,
2,,,,500,0.0667,0.1073,0.1067,0.001067,
2,,,,500,0.0824,0.1801,0.1074,0.001074,
2,,,,1000,0.0872,0.1244,0.09673,0.0009673,
2,,,,1000,0.0711,0.1115,0.08909,0.0008909,
2,,,,2000,0.0711,0.1015,0.08509,0.0008509,
2,,,,2000,0.0711,0.1015,0.08009,0.0008009,
2,,,,2000,0.0711,0.1115,0.07009,0.0007009,
2,,,,5000,0.0847,0.0917,0.06024,0.0006024,
2,,,,5000,0.0878,0.0828,0.06358,0.0006358,
2,,,,5000,0.0713,0.0814,0.06213,0.0006213,
2,,,,5000,0.067,0.0901,0.0644,0.000644,
2,,,,5000,0.0673,0.0801,0.0644,0.000644,
2,,,,5000,0.0664,0.0701,0.0639,0.000639,
2,,,,5000,0.0747,0.0701,0.0367,0.000367,
2,,,,5000,0.0671,0.0801,0.0344,0.000344,
2,,,,10000,0.0845,0.0402,0.0305,0.000305,
2,,,,10000,0.0767,0.05013,0.0317,0.000317,
2,,,,10000,0.0765,0.0602,0.0328,0.000328,
2,,,,12000,0.0747,0.0601,0.0202,0.000202,
2,,,,12000,0.0603,0.0501,0.0216,0.000216,
3,,,,60,0.3165,0.7017,1.2606,0.012606,
3,,,,60,0.3402,0.8025,1.0411,0.010411,
3,,,,60,0.3787,0.602,0.6913,0.006913,
3,,,,60,0.2864,0.4015,0.6418,0.006418,
3,,,,60,0.1801,0.6003,0.5258,0.005258,
3,,,,60,0.2598,0.5512,0.6147,0.006147,
3,,,,60,0.2218,0.5208,0.5743,0.005743,
3,,,,60,0.2253,0.5411,0.5096,0.005096,
3,,,,60,0.2479,0.5705,0.9522,0.009522,
3,,,,60,0.1048,0.5703,0.5274,0.005274,
3,,,,60,0.1433,0.5705,0.755,0.00755,
3,,,,60,0.2033,0.5108,0.8729,0.008729,
3,,,,60,0.1303,0.5006,0.9524,0.009524,
3,,,,60,0.1581,0.6004,0.7337,0.007337,
3,,,,300,0.2246,0.3005,0.2389,0.002389,
3,,,,300,0.2197,0.3206,0.1511,0.001511,
3,,,,300,0.103,0.3302,0.413,0.00413,
3,,,,300,0.1627,0.4305,0.351,0.00351,
